index,period,frequency,rlnm_rot_rate,rhnm_rot_rate,nlnm_acc,nhnm_acc,gsn_horizontal_acc,gsn_vertical_acc,gsn_vertical_rot_rate,gsn_transverse_rot_rate
115,0.489779,2.041737191672162,2.644171983008194e-24,4.720518448286747e-19,1.808422908936515e-17,3.2284941217126377e-12,1.3957075826195673e-17,2.1242084359749308e-17,3.8106551378060037e-25,3.1058954212085495e-24
116,0.496592,2.013725553371782,2.6113431656656024e-24,4.56209104014536e-19,1.787722063077685e-17,3.1232014671492146e-12,1.3620404132883183e-17,2.1157532047048945e-17,3.7155819536953738e-25,3.0905014741663092e-24
117,0.503501,1.9860933741938944,2.578887576875076e-24,4.409937252352431e-19,1.7672581778419506e-17,3.0220385498282702e-12,1.3283186092814557e-17,2.1071960525252012e-17,3.6204763846147453e-25,3.0749450137123286e-24
118,0.510505,1.9588446734116218,2.5473883448110557e-24,4.2628019662787105e-19,1.7474308552673234e-17,2.9241523778433307e-12,1.2945645788264592e-17,2.0985389369917746e-17,3.525403428195789e-25,3.0592304199683063e-24
119,0.517607,1.9319676897723561,2.515660388270096e-24,4.120519857231951e-19,1.7274281796735375e-17,2.8294368148721014e-12,1.260781822038467e-17,2.0897788866950896e-17,3.430374662227668e-25,3.0433531346556816e-24
120,0.524807,1.9054623890306341,2.4842939463460076e-24,3.982932818598394e-19,1.7076544728138824e-17,2.7377891624300783e-12,1.2298657396397676e-17,2.0755522255667596e-17,3.3432643447760865e-25,3.0195112134154018e-24
121,0.532108,1.8793177324903967,2.453284352298051e-24,3.848999802413494e-19,1.6881071137049168e-17,2.648500138606701e-12,1.1990742586883053e-17,2.060862853676174e-17,3.256605972070794e-25,2.9950010577586133e-24
122,0.53951,1.8535337621174768,2.4226280659355002e-24,3.7203752297311976e-19,1.6687835113653925e-17,2.5627131654112318e-12,1.1682553113125838e-17,2.0460235261041677e-17,3.1699889971034243e-25,2.970279838065199e-24
123,0.547016,1.828100092136245,2.3928714620721127e-24,3.595997409761386e-19,1.6500610013202322e-17,2.479704898798704e-12,1.1374130772729963e-17,2.031030456310469e-17,3.0834267973849687e-25,2.945342513771361e-24
124,0.554626,1.8030168077226818,2.3600380927147313e-24,3.4715147339891897e-19,1.631172909227833e-17,2.399385334308205e-12,1.1065647064175117e-17,2.0158859361238413e-17,2.997875496254067e-25,2.91665437361408e-24
125,0.562341,1.7782804383816937,2.3257451384477975e-24,3.348591124644906e-19,1.61250102733774e-17,2.321667382793132e-12,1.0757236169116994e-17,2.000590310319515e-17,2.913003108779158e-25,2.885494712479854e-24
126,0.570164,1.7538813394041013,2.291861647438626e-24,3.2291513220885017e-19,1.5940428807122198e-17,2.2459495674489532e-12,1.0448958695587244e-17,1.985140043731339e-17,2.8282253982210335e-25,2.854168094267137e-24
127,0.578096,1.7298165010655668,2.2583837830110744e-24,3.1145674933750544e-19,1.5757960227439175e-17,2.1732015193999624e-12,1.0140961720332658e-17,1.969535653458757e-17,2.743583488302127e-25,2.8226796588102672e-24
